product,cancelled_lines,total_lines,cancellation_rate_pct
Discount,165,170,97.06
WHITE CHERRY LIGHTS,119,217,54.84
BLACK CHERRY LIGHTS,50,98,51.02
Manual,397,1078,36.83
GREEN CHERRY LIGHTS,37,113,32.74
GOLD  CHERRY LIGHTS,24,75,32.0
LIGHT PINK CHERRY LIGHTS,60,219,27.4
WILLOW BRANCH LIGHTS.,24,88,27.27
PINK CHERRY LIGHTS,86,316,27.22
CLEAR MILKSHAKE GLASS,16,59,27.12
ROCOCO WALL MIRROR WHITE,12,55,21.82
CREAM SWEETHEART MAGAZINE RACK,37,187,19.79
LARGE CIRCULAR MIRROR MOBILE,55,293,18.77
SAVOY ART DECO CLOCK,30,160,18.75
ANTIQUE LILY FAIRY LIGHTS,61,346,17.63
WHITE BEADED GARLAND STRING 20LIGHT,43,248,17.34
SET OF 3 BLACK FLYING DUCKS,25,146,17.12
"WHITE TEA,COFFEE,SUGAR JARS",14,82,17.07
RETRO SPOT TRADITIONAL TEAPOT ,44,267,16.48
VINTAGE RED KITCHEN CABINET,10,62,16.13
