month,total_revenue,order_count
2009-12-01,683504.0099999963,1512
2010-01-01,555802.6720000128,1011
2010-02-01,504558.9560000152,1104
2010-03-01,696978.4709999892,1524
2010-04-01,591982.0019999987,1329
2010-05-01,597833.3800000072,1377
2010-06-01,636371.1300000058,1497
2010-07-01,589736.1700000031,1381
2010-08-01,602224.5999999994,1293
2010-09-01,829013.9509999914,1689
2010-10-01,1033112.0099999075,2133
2010-11-01,1166460.0219998728,2587
2010-12-01,570422.7300000169,1400
2011-01-01,568101.310000008,987
2011-02-01,446084.92000001646,997
2011-03-01,594081.7600000132,1321
2011-04-01,468374.33100001334,1149
2011-05-01,677355.1500000018,1555
2011-06-01,660046.0500000116,1393
2011-07-01,598962.9010000143,1331
2011-08-01,644051.0400000094,1280
2011-09-01,950690.201999996,1755
2011-10-01,1035642.4499999837,1929
2011-11-01,1156205.6099999477,2657
2011-12-01,517208.44000000326,778
